Date,Calls,Puts,SPXL
1/3/2017,1.4,-1,0.017166822
1/4/2017,-0.695652174,-0.333333333,-0.002312011
1/5/2017,-0.1,-0.96,0.010550877
1/6/2017,-0.84,0.092307692,-0.010645783
1/9/2017,-0.566666667,-0.344827586,0
1/10/2017,0.676470588,-1,0.008488915
1/11/2017,-0.857142857,0.44,-0.006434427
1/12/2017,1.028571429,-1,0.005549522
1/13/2017,-0.903225806,0.711111111,-0.008902508
1/17/2017,-0.275862069,-1,0.005291262
1/18/2017,-0.580645161,0.220338983,-0.010827926
1/19/2017,-1,-1,0.010098713
1/20/2017,-0.6875,0.06779661,-0.008070375
1/23/2017,1.956521739,-0.876923077,0.019693781
1/24/2017,3.868421053,-1,0.024078272
1/25/2017,-0.483870968,-0.303571429,-0.002206153
1/26/2017,-1,-0.8,-0.002599393
1/27/2017,-0.815789474,0.862068966,-0.01802863
1/30/2017,-0.64516129,-0.406779661,-0.002669716
1/31/2017,-1,-0.948717949,0.000895091
2/1/2017,-0.535714286,-0.412698413,0.001710928
2/2/2017,2.838709677,-1,0.021794274
2/3/2017,-0.761904762,0.057692308,-0.006346071
2/6/2017,-0.476190476,-0.6,0.000680487
2/7/2017,-0.35483871,-1,0.002079967
2/8/2017,2.25,-0.9,0.017257639
2/9/2017,1.25,-1,0.010698151
2/10/2017,1.173913043,-0.736111111,0.015737535
2/13/2017,0.9375,-0.863636364,0.012022005
2/14/2017,2.205882353,-1,0.014976927
2/15/2017,-0.869565217,-0.261904762,-0.002592354
2/16/2017,-0.882352941,-0.970588235,0.005035669
2/17/2017,1.086956522,-0.870967742,0.018144199
2/21/2017,-1,-0.965517241,-0.003246601
2/22/2017,-0.466666667,-0.577777778,0.001256961
2/23/2017,-1,-1,0.004480092
2/24/2017,0.068965517,-0.323529412,0.003053949
2/27/2017,-0.65,0.307692308,-0.007735129
2/28/2017,7.782608696,-1,0.041021564
3/1/2017,-0.952380952,0.676923077,-0.017579641
3/2/2017,-1,-1,0.001511631
3/3/2017,-0.777777778,0.25,-0.009831722
3/6/2017,-0.875,0.789473684,-0.008740121
3/7/2017,-1,-0.414634146,-0.006852647
3/8/2017,-0.096774194,-0.333333333,0.002399686
3/9/2017,-0.931034483,-1,0.009806011
3/10/2017,-0.454545455,-0.423913043,0.001099898
3/13/2017,-0.739130435,0.545454545,-0.010137082
3/14/2017,2.391304348,-1,0.025124259
3/15/2017,-0.863636364,-0.177966102,-0.004880131
3/16/2017,-1,0.078125,-0.003942945
3/17/2017,-0.826086957,-0.06557377,-0.00602968
3/20/2017,-0.95,5.461538462,-0.037223919
3/21/2017,-1,-1,0.005669658
3/22/2017,-0.5,0.00990099,-0.003180809
3/23/2017,-1,-0.971428571,-0.002531988
3/24/2017,-0.954545455,-0.386138614,-0.003058762
3/27/2017,1.3,-0.890625,0.021754422
3/28/2017,-0.863636364,-1,0.003255975
3/29/2017,-0.076923077,-0.761904762,0.00880533
3/30/2017,-1,-0.137931034,-0.006765143
3/31/2017,-0.708333333,-0.25,-0.004926377
4/3/2017,-0.441176471,-0.538461538,0.001678567
4/4/2017,-1,1,-0.009164584
4/5/2017,-0.172413793,-0.692307692,0.005788528
4/6/2017,-1,-1,-0.00248139
4/7/2017,-0.473684211,-0.34939759,0.002063059
4/10/2017,-0.764705882,-0.379310345,-0.004301638
4/11/2017,-1,1.289473684,-0.011279852
4/12/2017,-1,1.208333333,-0.020444083
4/13/2017,0.5,-0.876404494,0.025840047
4/17/2017,-0.928571429,0.111111111,-0.00871014
4/18/2017,-1,-0.771428571,-0.005149052
4/19/2017,2,-0.887096774,0.02267179
4/20/2017,-1,-0.523809524,-0.009105219
4/21/2017,-0.515151515,-0.949685535,0.032520207
4/24/2017,3.294117647,-0.84,0.018272062
4/25/2017,-1,-0.65,-0.00145711
4/26/2017,-0.266666667,-0.645833333,0.00165876
4/27/2017,-1,0.3125,-0.005739442
4/28/2017,0,0,0.005196872
5/1/2017,-0.324324324,-0.263157895,0.00356715
5/2/2017,-1,-0.8,-0.003814082
5/3/2017,-0.1,-0.540540541,0.001746308
5/4/2017,2.214285714,-1,0.012266086
5/5/2017,-0.771428571,-0.681818182,0.000112338
5/8/2017,-0.5625,-0.260869565,-0.003075746
5/9/2017,-0.444444444,-1,0.003391804
5/10/2017,-0.736842105,0.075,-0.006488428
5/11/2017,-1,-0.961538462,-0.004435324
